p_index,Year,Award
1855,2023-24,mvp
1239,2022-23,mvp
1855,2021-22,mvp
1855,2020-21,mvp
882,2019-20,mvp
882,2018-19,mvp
1067,2017-18,mvp
2102,2016-17,mvp
2233,2015-16,mvp
2233,2014-15,mvp
1432,2013-14,mvp
1535,2012-13,mvp
1535,2011-12,mvp
629,2010-11,mvp
1535,2009-10,mvp
1535,2008-09,mvp
1470,2007-08,mvp
674,2006-07,mvp
2246,2005-06,mvp
2246,2004-05,mvp
1435,2003-04,mvp
2313,2002-03,mvp
2313,2001-02,mvp
71,2000-01,mvp
2188,1999-00,mvp
1378,1998-99,mvp
1740,1997-98,mvp
1378,1996-97,mvp
1905,2022-23,roty
2146,2021-22,roty
1503,2020-21,roty
1000,2019-20,roty
1574,2018-19,roty
193,2017-18,roty
1598,2016-17,roty
1377,2015-16,roty
115,2014-15,roty
1731,2013-14,roty
490,2012-13,roty
1496,2011-12,roty
211,2010-11,roty
2419,2009-10,roty
629,2008-09,roty
1432,2007-08,roty
254,2006-07,roty
404,2005-06,roty
776,2004-05,roty
1535,2003-04,roty
83,2002-03,roty
1923,2001-02,roty
1763,2000-01,roty
773,1999-00,roty
2452,1998-99,roty
2313,1997-98,roty
71,1996-97,roty
1105,2022-23,dpoy
1635,2021-22,dpoy
2098,2020-21,dpoy
882,2019-20,dpoy
2098,2018-19,dpoy
2098,2017-18,dpoy
714,2016-17,dpoy
1380,2015-16,dpoy
1380,2014-15,dpoy
1218,2013-14,dpoy
1617,2012-13,dpoy
2431,2011-12,dpoy
730,2010-11,dpoy
730,2009-10,dpoy
730,2008-09,dpoy
1435,2007-08,dpoy
1624,2006-07,dpoy
195,2005-06,dpoy
195,2004-05,dpoy
1724,2003-04,dpoy
195,2002-03,dpoy
195,2001-02,dpoy
668,2000-01,dpoy
75,1999-00,dpoy
75,1998-99,dpoy
668,1997-98,dpoy
668,1996-97,dpoy
1598,2022-23,smoty
2413,2021-22,smoty
1291,2020-21,smoty
1794,2019-20,smoty
1563,2018-19,smoty
1563,2017-18,smoty
783,2016-17,smoty
1050,2015-16,smoty
1563,2014-15,smoty
1050,2013-14,smoty
1336,2012-13,smoty
1067,2011-12,smoty
1499,2010-11,smoty
1050,2009-10,smoty
1131,2008-09,smoty
1616,2007-08,smoty
1533,2006-07,smoty
1763,2005-06,smoty
188,2004-05,smoty
123,2003-04,smoty
220,2002-03,smoty
452,2001-02,smoty
12,2000-01,smoty
2066,1999-00,smoty
541,1998-99,smoty
522,1997-98,smoty
1261,1996-97,smoty
1855,2022-23,fmvp
2233,2021-22,fmvp
882,2020-21,fmvp
1535,2019-20,fmvp
1380,2018-19,fmvp
1432,2017-18,fmvp
1432,2016-17,fmvp
1535,2015-16,fmvp
96,2014-15,fmvp
1380,2013-14,fmvp
1535,2012-13,fmvp
1535,2011-12,fmvp
674,2010-11,fmvp
1470,2009-10,fmvp
1470,2008-09,fmvp
1929,2007-08,fmvp
2349,2006-07,fmvp
732,2005-06,fmvp
2313,2004-05,fmvp
365,2003-04,fmvp
2313,2002-03,fmvp
2187,2001-02,fmvp
2187,2000-01,fmvp
2187,1999-00,fmvp
2313,1998-99,fmvp
1740,1997-98,fmvp
1740,1996-97,fmvp