t_index,abr,name,city,champs 
1,ATL,Hawks,Atlanta,0
2,BOS,Celtics,Boston,17
3,BKN,Nets,Brooklyn,2
4,CHA,Hornets,Charlotte,0
5,CHI,Bulls,Chicago,6
6,CLE,Cavaliers,Cleveland,1
7,DAL,Mavericks,Dallas,1
8,DEN,Nuggets,Denver,1
9,DET,Pistons,Detroit,3
10,GSW,Warriors,Golden State,7
11,HOU,Rockets,Houston,2
12,IND,Pacers,Indianapolis,0
13,LAC,Clippers,Los Angeles,0
14,LAL,Lakers,Los Angeles,17
15,MEM,Grizzlies,Memphis,0
16,MIA,Heat,Miami,3
17,MIL,Bucks,Milwaukee,2
18,MIN,Timberwolves,Minneapolis,0
19,NOP,Pelicans,New Orleans,0
20,NYK,Knicks,New York,2
21,OKC,Thunder,Oklahoma City,1
22,ORL,Magic,Orlando,0
23,PHI,76ers,Philadelphia,3
24,PHX,Suns,Phoenix,0
25,POR,Trail Blazers,Portland,1
26,SAC,Kings,Sacramento,1
27,SAS,Spurs,San Antonio,5
28,TOR,Raptors,Toronto,1
29,UTA,Jazz,Utah,0
30,WAS,Wizards,Washington,1
31,NJN,Nets,New Jersey,2
32,VAN,Grizzlies,Vancouver,0